,country,industry,marketcap,price,sector,avgvol
1533,USA,Diversified Machinery,151205,17.45,Industrial Goods,77560
762,USA,Money Center Banks,307294,29.52,Financial,67480
2109,USA,Semiconductor - Broad Line,10248,10.28,Technology,50800
271,USA,Semiconductor- Memory Chips,47911,41.12,Technology,38550
358,USA,Telecom Services - Domestic,239579,38.88,Technology,36270
1937,USA,Auto Manufacturers - Major,49812,12.49,Consumer Goods,34700
115,USA,Semiconductor - Broad Line,216307,46.16,Technology,28240
1409,Israel,Drug Manufacturers - Other,18120,18.95,Healthcare,27000
1953,Brazil,Industrial Metals & Minerals,65322,12.23,Basic Materials,26080
3209,USA,Drug Stores,2076,1.97,Services,25830
308,USA,Entertainment - Diversified,187323,40.05,Services,25760
2829,USA,Independent Oil & Gas,3590,3.96,Basic Materials,24860
1761,USA,Internet Software & Services,17850,14.61,Technology,22970
2783,Switzerland,Oil & Gas Equipment & Services,4108,4.17,Basic Materials,22300
1050,USA,Internet Information Providers,18265,24.01,Technology,19290
2520,Brazil,Beverages - Brewers,101473,6.46,Consumer Goods,18970
375,USA,Networking & Communication Devices,189243,38.3,Technology,18850
2639,USA,Broadcasting - Radio,24175,5.36,Services,17800
2969,USA,Department Stores,985,3.16,Services,17670
1262,Canada,Drug Delivery,7269,20.78,Healthcare,17520
2579,USA,Wireless Communications,23479,5.89,Technology,17160
1404,USA,Copper,27563,18.96,Basic Materials,16990
2618,USA,Independent Oil & Gas,2871,5.58,Basic Materials,16830
519,USA,Internet Software & Services,13752,34.67,Technology,16760
1598,USA,Telecom Services - Domestic,18069,16.68,Technology,16530
264,China,Internet Information Providers,59093,41.42,Technology,16360
2604,USA,Steel & Iron,1786,5.66,Basic Materials,16070
83,USA,Application Software,196990,47.28,Technology,15230
461,USA,Drug Manufacturers - Major,216495,36.22,Healthcare,15080
2576,UnitedKingdom,Oil & Gas Drilling & Exploration,2541,5.91,Basic Materials,14690
2107,Brazil,Oil & Gas Drilling & Exploration,66457,10.29,Basic Materials,14410
989,USA,Department Stores,7696,25.19,Services,14280
869,USA,Grocery Stores,24349,27.45,Services,13950
2708,Finland,Communication Equipment,27217,4.66,Technology,13870
276,USA,Auto Manufacturers - Major,58417,40.99,Consumer Goods,13740
1491,USA,Oil & Gas Pipelines,40400,18.07,Basic Materials,12980
3574,Greece,Shipping,14,0.25,Services,12630
1574,USA,Independent Oil & Gas,14513,16.93,Basic Materials,12320
523,USA,Entertainment - Diversified,63278,34.53,Services,12190
2075,Switzerland,Oil & Gas Drilling & Exploration,4176,10.68,Basic Materials,11800
1551,USA,Regional - Southeast Banks,20068,17.28,Financial,11720
1699,USA,Toys & Games,5289,15.38,Consumer Goods,11620
2478,Bermuda,Oil & Gas Drilling & Exploration,1980,6.83,Basic Materials,11060
2445,USA,Industrial Metals & Minerals,2135,7.21,Basic Materials,10950
1311,USA,Regional - Midwest Banks,21681,20.17,Financial,10940
1783,USA,Diversified Computer Systems,23272,14.36,Technology,10910
1913,USA,Resorts & Casinos,9050,12.65,Services,10660
499,USA,Steel & Iron,6257,35.19,Basic Materials,10640
2323,USA,Independent Oil & Gas,2026,8.41,Basic Materials,10550
2692,USA,Broadcasting - Radio,1238,4.82,Services,10320
1244,USA,Diversified Computer Systems,35076,21.01,Technology,10270
2417,Mexico,Cement,11063,7.5,Industrial Goods,10110
2791,USA,Credit Services,1714,4.13,Financial,9920
1980,USA,REIT - Diversified,13787,11.89,Financial,9870
2382,USA,REIT - Diversified,7589,7.79,Financial,9850
121,USA,Beverages - Soft Drinks,195523,45.88,Consumer Goods,9840
3214,USA,Medical Instruments & Supplies,368,1.93,Healthcare,9730
1868,Canada,Major Integrated Oil & Gas,12972,13.33,Basic Materials,9700
1775,Canada,Gold,16872,14.47,Basic Materials,9510
399,USA,"Specialty Retail, Other",39475,37.74,Services,9020
2825,USA,Multimedia & Graphics Software,3500,4,Technology,9020
1887,Brazil,Foreign Regional Banks,80610,13,Financial,8940
1998,China,Catalog & Mail Order Houses,6843,11.72,Services,8940
1698,China,Application Software,1033,15.39,Technology,8760
2113,Brazil,Foreign Regional Banks,62312,10.24,Financial,8580
2181,India,Money Center Banks,31470,9.73,Financial,8520
1504,USA,Oil & Gas Pipelines,20555,17.92,Basic Materials,8500
1213,Bermuda,Semiconductor - Integrated Circuits,10566,21.47,Technology,8420
2666,USA,Internet Information Providers,2941,5.1,Technology,8390
1765,USA,Regional - Midwest Banks,15803,14.56,Financial,8320
2964,USA,Diversified Electronics,76,3.21,Technology,8320
3145,USA,Biotechnology,279,2.32,Healthcare,8260
2758,Canada,Gold,5387,4.32,Basic Materials,8140
1091,USA,REIT - Retail,21815,23.39,Financial,8070
2975,Canada,Gold,2959,3.12,Basic Materials,8060
27,USA,Oil & Gas Equipment & Services,42784,48.87,Basic Materials,8000
219,USA,Confectioners,63577,42.8,Consumer Goods,7970
575,USA,Resorts & Casinos,19125,33.39,Services,7940
1015,USA,Medical Appliances & Equipment,34096,24.79,Healthcare,7910
1929,China,Information Technology Services,3971,12.54,Technology,7750
3329,Canada,Gold,1065,1.43,Basic Materials,7700
2876,Brazil,Steel & Iron,6184,3.72,Basic Materials,7660
3167,USA,Independent Oil & Gas,869,2.21,Basic Materials,7600
154,USA,Electric Utilities,23026,44.83,Utilities,7340
2730,UnitedKingdom,Oil & Gas Drilling & Exploration,1108,4.52,Basic Materials,7340
3164,USA,Drug Manufacturers - Other,563,2.23,Healthcare,7310
692,USA,Housewares & Accessories,15184,30.9,Consumer Goods,7160
2307,USA,REIT - Diversified,3919,8.58,Financial,6910
814,USA,Networking & Communication Devices,10772,28.5,Technology,6810
914,USA,Independent Oil & Gas,56323,26.51,Basic Materials,6700
1904,Canada,Gold,11059,12.77,Basic Materials,6670
2531,USA,Information Technology Services,154,6.31,Technology,6560
1113,USA,"Movie Production, Theaters",3623,23.01,Services,6530
1779,USA,Textile - Apparel Clothing,6049,14.43,Consumer Goods,6510
2096,Taiwan,Semiconductor - Specialized,1789,10.42,Technology,6480
1563,USA,Independent Oil & Gas,4244,17.06,Basic Materials,6460
1254,USA,Textile - Apparel Clothing,7655,20.91,Consumer Goods,6400
1334,USA,REIT - Hotel/Motel,14626,19.85,Financial,6370
231,USA,Drugs - Generic,22642,42.31,Healthcare,6330
2166,Brazil,Oil & Gas Drilling & Exploration,64114,9.83,Basic Materials,6310
364,USA,Credit Services,30398,38.61,Financial,6210
1312,USA,Advertising Agencies,7853,20.16,Services,6190
1986,USA,Electric Utilities,1565,11.85,Utilities,6160
696,USA,Entertainment - Diversified,12388,30.81,Services,6140
1593,USA,Business Services,15246,16.71,Services,6140
1145,USA,CATV Systems,8111,22.38,Services,6000
3190,USA,Telecom Services - Domestic,65,2.07,Technology,5960
2384,Ireland,Drug Manufacturers - Other,1773,7.75,Healthcare,5940
1710,USA,Semiconductor - Broad Line,5109,15.24,Technology,5900
1250,USA,Semiconductor - Broad Line,8900,20.94,Technology,5880
1805,USA,Independent Oil & Gas,5602,14.07,Basic Materials,5800
2065,USA,Electric Utilities,7148,10.83,Utilities,5750
3578,Bermuda,Oil & Gas Drilling & Exploration,126,0.23,Basic Materials,5730
821,USA,Biotechnology,309,28.4,Healthcare,5690
1151,USA,Regional Airlines,7160,22.34,Services,5650
921,USA,Oil & Gas Drilling & Exploration,2402,26.48,Basic Materials,5630
1726,USA,Electric Utilities,5456,15.13,Utilities,5590
1552,USA,Oil & Gas Pipelines,18583,17.26,Basic Materials,5550
835,USA,Security Software & Services,17496,28.06,Technology,5530
2489,USA,Semiconductor Equipment & Materials,1155,6.74,Technology,5530
545,USA,Apparel Stores,13249,34.06,Services,5460
716,USA,Regional - Midwest Banks,21470,30.34,Financial,5430
2910,USA,"Specialty Retail, Other",1843,3.54,Services,5380
3380,USA,Biotechnology,386,1.24,Healthcare,5360
1332,USA,Personal Products,14773,19.89,Consumer Goods,5320
818,USA,Diversified Utilities,9029,28.48,Utilities,5310
384,USA,Auto Parts,35167,38.11,Consumer Goods,5280
484,UnitedKingdom,Drug Manufacturers - Major,88365,35.47,Healthcare,5280
2870,UnitedKingdom,Foreign Money Center Banks,66429,3.75,Financial,5240
634,USA,Diversified Electronics,27733,31.99,Technology,5190
2040,Canada,Communication Equipment,6048,11.17,Technology,5160
1026,China,Internet Software & Services,4871,24.48,Technology,5100
341,USA,Diversified Utilities,37926,39.41,Utilities,5020
708,USA,Oil & Gas Pipelines,25216,30.49,Basic Materials,5010
2652,USA,Industrial Metals & Minerals,1181,5.23,Basic Materials,5000
810,USA,Independent Oil & Gas,13291,28.6,Basic Materials,4990
2404,USA,Photographic Equipment & Supplies,1123,7.57,Consumer Goods,4960
2597,USA,Scientific & Technical Instruments,1364,5.71,Technology,4950
2265,USA,REIT - Retail,3239,8.96,Financial,4940
2605,USA,REIT - Retail,952,5.66,Financial,4930
1468,USA,Electric Utilities,7924,18.32,Utilities,4890
2204,USA,Oil & Gas Pipelines,2309,9.57,Basic Materials,4890
3136,USA,Diversified Electronics,549,2.36,Technology,4880
3592,USA,Biotechnology,13,0.15,Healthcare,4870
334,Taiwan,Semiconductor - Integrated Circuits,205628,39.65,Technology,4850
2795,USA,Business Services,51,4.1,Services,4840
177,China,Lodging,22889,44.1,Services,4800
750,USA,Rental & Leasing Services,14784,29.71,Services,4780
2436,USA,Property & Casualty Insurance,966,7.32,Financial,4750
1180,USA,Home Furnishing Stores,3076,21.99,Services,4740
2911,Greece,Shipping,366,3.53,Services,4720
3364,USA,Wireless Communications,1650,1.31,Technology,4710
579,USA,Residential Construction,9892,33.25,Industrial Goods,4700
265,USA,Independent Oil & Gas,21417,41.4,Basic Materials,4690
247,USA,Regional - Mid-Atlantic Banks,20640,41.98,Financial,4680
254,Ireland,Data Storage Devices,12045,41.84,Technology,4670
2498,Sweden,Communication Equipment,22373,6.68,Technology,4650
2511,Spain,Foreign Money Center Banks,108369,6.54,Financial,4640
3055,USA,Biotechnology,44,2.68,Healthcare,4630
1871,USA,Credit Services,3584,13.32,Financial,4620
690,USA,Electric Utilities,21349,30.95,Utilities,4600
57,USA,Electric Utilities,49250,48.09,Utilities,4590
969,USA,Agricultural Chemicals,9010,25.66,Basic Materials,4590
3598,USA,Oil & Gas Drilling & Exploration,8,0.12,Basic Materials,4580
5,USA,Regional - Southeast Banks,39179,49.72,Financial,4550
94,USA,Textile - Apparel Footwear & Accessories,5769,46.88,Consumer Goods,4540
780,USA,Independent Oil & Gas,14136,29.14,Basic Materials,4540
1298,USA,Networking & Communication Devices,2361,20.35,Technology,4540
1634,India,Technical & System Software,36712,16.22,Technology,4540
652,USA,Oil & Gas Equipment & Services,36316,31.64,Basic Materials,4450
1309,USA,REIT - Residential,7889,20.19,Financial,4450
1959,USA,Independent Oil & Gas,2463,12.15,Basic Materials,4450
2763,SouthAfrica,Gold,3559,4.3,Basic Materials,4430
245,UnitedKingdom,Major Integrated Oil & Gas,139802,42.03,Basic Materials,4410
765,USA,Independent Oil & Gas,9153,29.44,Basic Materials,4410
414,USA,Gold,19999,37.52,Basic Materials,4360
2828,USA,Silver,1584,3.97,Basic Materials,4360
2685,USA,Biotechnology,2803,4.9,Healthcare,4350
2892,USA,Multimedia & Graphics Software,503,3.64,Technology,4340
940,Canada,Industrial Metals & Minerals,15127,26.17,Basic Materials,4330
1418,USA,Apparel Stores,3348,18.8,Services,4310
2066,USA,Broadcasting - Radio,1486,10.8,Services,4290
522,USA,Long-Term Care Facilities,4199,34.56,Healthcare,4280
2949,Canada,Gold,1876,3.29,Basic Materials,4220
576,USA,Chemicals - Major Diversified,7976,33.29,Basic Materials,4190
1327,USA,Regional - Southeast Banks,4713,19.99,Financial,4180
77,USA,Independent Oil & Gas,14873,47.47,Basic Materials,4160
2584,Canada,Gold,2710,5.83,Basic Materials,4150
3604,USA,Medical Instruments & Supplies,3,0.05,Healthcare,4130
704,USA,Electric Utilities,13671,30.62,Utilities,4080
2486,USA,Telecom Services - Domestic,541,6.76,Technology,4070
2979,USA,Life Insurance,1572,3.11,Financial,4070
496,USA,Technical & System Software,5696,35.28,Technology,4030
1169,USA,Rental & Leasing Services,1875,22.1,Services,4010
1427,Mexico,Broadcasting - TV,11727,18.67,Services,3940
2857,Netherlands,Telecom Services - Foreign,7022,3.84,Technology,3940
2246,Canada,Oil & Gas Drilling & Exploration,11245,9.13,Basic Materials,3900
614,USA,Specialty Chemicals,7875,32.36,Basic Materials,3810
1394,Germany,Foreign Regional Banks,39793,19.03,Financial,3810
1759,USA,Independent Oil & Gas,3367,14.63,Basic Materials,3810
3177,USA,Personal Products,946,2.15,Consumer Goods,3810
1171,USA,Independent Oil & Gas,2474,22.08,Basic Materials,3800
2490,USA,Asset Management,2376,6.74,Financial,3800
1885,USA,Savings & Loans,6401,13.02,Financial,3790
1398,USA,Credit Services,8814,19.01,Financial,3770
526,USA,Internet Information Providers,4810,34.46,Technology,3760
1483,USA,REIT - Retail,7696,18.15,Financial,3750
617,Luxembourg,Steel & Iron,32955,32.31,Basic Materials,3730
879,USA,Aluminum,13102,27.25,Basic Materials,3730
3250,Canada,Industrial Metals & Minerals,526,1.77,Basic Materials,3730
945,USA,REIT - Healthcare Facilities,12231,26.08,Financial,3710
2312,USA,Industrial Metals & Minerals,2052,8.53,Basic Materials,3670
3192,Brazil,Electric Utilities,3004,2.06,Utilities,3670
1273,Canada,Agricultural Chemicals,17349,20.65,Basic Materials,3660
3233,USA,Telecom Services - Domestic,348,1.85,Technology,3650
3561,USA,Biotechnology,8,0.32,Healthcare,3650
3572,USA,Diagnostic Substances,4,0.26,Healthcare,3650
631,USA,Asset Management,38614,32.02,Financial,3640
2007,China,Internet Information Providers,4507,11.57,Technology,3630
1136,UnitedKingdom,Drugs - Generic,2167,22.56,Healthcare,3600
1189,Switzerland,Semiconductor - Broad Line,19659,21.84,Technology,3600
1796,USA,Application Software,2636,14.2,Technology,3580
798,USA,Sporting Goods Stores,3132,28.74,Services,3560
